symbol,timeframe,timestamp,price,direction,tier,components
BTCUSDT,15m,2024-01-01 06:45:00,42423.3,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 06:45:00,42423.3,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 06:45:00,42423.3,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 06:45:00,42423.3,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 06:45:00,42423.3,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 07:00:00,42482.2,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 07:00:00,42482.2,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 07:00:00,42482.2,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 07:00:00,42482.2,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 07:00:00,42482.2,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 07:15:00,42524.9,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 07:15:00,42524.9,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 07:15:00,42524.9,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 07:15:00,42524.9,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 07:15:00,42524.9,LONG,4,detect_bos_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 07:30:00,42475.4,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 07:30:00,42475.4,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 07:30:00,42475.4,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 07:30:00,42475.4,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 07:30:00,42475.4,SHORT,3,bear_candle
BTCUSDT,15m,2024-01-01 07:30:00,42475.4,LONG,5,detect_bos_simple;detect_order_block_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bear_candle
BTCUSDT,15m,2024-01-01 07:45:00,42527.0,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 07:45:00,42527.0,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 07:45:00,42527.0,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 07:45:00,42527.0,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 07:45:00,42527.0,LONG,4,detect_bos_simple;detect_order_block_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 08:00:00,42551.9,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 08:00:00,42551.9,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 08:00:00,42551.9,LONG,3,bull_candle
BTCUSDT,15m,2024-01-01 08:00:00,42551.9,LONG,3,detect_bos_simple;detect_equal_highs_lows_simple;bull_candle
BTCUSDT,15m,2024-01-01 08:15:00,42519.9,LONG,3,detect_bos_simple
BTCUSDT,15m,2024-01-01 08:15:00,42519.9,NEUTRAL,3,detect_order_block_simple
BTCUSDT,15m,2024-01-01 08:15:00,42519.9,LONG,3,detect_fvg_simple
BTCUSDT,15m,2024-01-01 08:15:00,42519.9,NEUTRAL,3,detect_equal_highs_lows_simple
BTCUSDT,15m,2024-01-01 08:15:00,42519.9,SHORT,3,bear_candle
BTCUSDT,15m,2024-01-01 08:15:00,42519.9,LONG,5,detect_bos_simple;detect_order_block_simple;detect_fvg_simple;detect_equal_highs_lows_simple;bear_candle
BTCUSDT,15m,2024-01-01 08:30:00,42530.4,LONG,3,detect_bos_simple
